Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
52343,-1.457281,-9.696064,2.086616, 
52422,-1.450102,-9.708028,2.172760, 
52501,-1.548212,-9.612311,2.086616, 
52580,-1.462067,-9.681706,2.103366, 
52659,-1.474031,-9.719993,2.077044, 
52738,-1.514711,-9.638634,2.115331, 
52816,-1.464460,-9.719993,2.103366, 
52895,-1.457281,-9.681706,2.055508, 
52973,-1.440531,-9.688885,2.117724, 
53052,-1.469246,-9.696064,2.134474, 
53131,-1.457281,-9.696064,2.156010, 
53209,-1.490782,-9.691278,2.134474, 
53288,-1.457281,-9.719993,2.191904, 
53367,-1.533854,-9.617098,2.141653, 
53446,-1.414209,-9.717600,2.038758, 
53525,-1.466853,-9.662563,2.091402, 
53603,-1.536247,-9.643419,2.048329, 
53682,-1.430959,-9.686492,2.098580, 
53761,-1.399851,-9.672134,2.050722, 
53839,-1.538640,-9.600348,2.160796, 
53918,-1.454888,-9.700850,2.129688, 
53997,-1.476424,-9.662563,2.117724, 
54076,-1.435745,-9.715207,2.117724, 
54155,-1.497960,-9.753493,2.060294, 
54233,-1.610427,-9.576418,2.041151, 
54312,-1.430959,-9.755886,2.057901, 
54391,-1.450102,-9.657777,2.086616, 
54469,-1.509925,-9.652991,2.086616, 
54548,-1.411816,-9.727171,2.124902, 
54627,-1.430959,-9.705635,2.077044, 
54706,-1.447709,-9.667349,2.086616, 
54785,-1.426173,-9.672134,2.100973, 
54864,-1.481210,-9.684099,2.158403, 
54942,-1.457281,-9.684099,2.110545, 
55021,-1.459674,-9.679314,2.105759, 
55099,-1.529068,-9.641026,2.144046, 
55178,-1.433352,-9.719993,2.100973, 
55257,-1.447709,-9.748708,2.134474, 
55335,-1.500353,-9.655384,2.115331, 
55414,-1.548212,-9.691278,2.019614, 
55493,-1.497960,-9.619491,2.026793, 
55572,-1.423780,-9.698457,2.127295, 
55651,-1.450102,-9.638634,2.124902, 
55729,-1.476424,-9.645813,2.065080, 
55808,-1.440531,-9.686492,2.117724, 
55887,-1.462067,-9.655384,2.072258, 
55965,-1.440531,-9.566847,2.275656, 
56044,-1.557783,-9.626669,2.179939, 
56123,-1.399851,-9.770244,2.144046, 
56202,-1.428566,-9.734350,2.086616, 
56281,-1.581712,-9.684099,2.045936, 
56359,-1.502746,-9.679314,2.144046, 
56438,-1.541033,-9.641026,2.175153, 
56517,-1.421387,-9.717600,2.124902, 
56595,-1.368743,-9.705635,2.086616, 
56674,-1.519497,-9.662563,1.993292, 
56753,-1.600855,-9.619491,2.065080, 
56832,-1.622392,-9.650599,2.081830, 
56911,-1.624785,-9.600348,2.098580, 
56989,-1.478817,-9.703242,2.048329, 
57068,-1.586498,-9.698457,2.029186, 
57147,-1.619999,-9.657777,1.998078, 
57225,-1.629570,-9.667349,1.952613, 
57304,-1.619999,-9.715207,1.921505, 
57383,-1.500353,-9.748708,1.945434, 
57461,-1.584105,-9.705635,1.911934, 
57540,-1.617606,-9.717600,1.888005, 
57619,-1.658285,-9.636241,1.916719, 
57698,-1.569748,-9.641026,1.842539, 
57777,-1.445316,-9.633848,1.993292, 
57855,-1.600855,-9.705635,1.964578, 
57934,-1.552997,-9.772636,1.974149, 
58013,-1.588891,-9.703242,1.935863, 
58091,-1.591284,-9.772636,1.945434, 
58170,-1.574534,-9.722385,1.940648, 
58249,-1.526675,-9.739136,1.986114, 
58328,-1.581712,-9.664956,1.986114, 
58407,-1.555390,-9.684099,1.962185, 
58485,-1.519497,-9.643419,1.952613, 
58564,-1.548212,-9.703242,1.923898, 
58643,-1.667857,-9.629062,2.067473, 
58721,-1.464460,-9.727171,1.938256, 
58800,-1.478817,-9.672134,2.024400, 
58878,-1.452495,-9.741529,2.120116, 
58957,-1.550604,-9.698457,2.060294, 
59036,-1.488389,-9.698457,2.041151, 
59115,-1.502746,-9.681706,1.995685, 
59194,-1.514711,-9.703242,2.122509, 
59273,-1.507532,-9.717600,2.036365, 
59351,-1.526675,-9.705635,2.036365, 
59430,-1.560176,-9.698457,1.940648, 
59508,-1.655892,-9.650599,2.050722, 
59587,-1.524282,-9.722385,2.057901, 
59666,-1.459674,-9.691278,2.060294, 
59745,-1.536247,-9.662563,2.086616, 
59824,-1.545819,-9.729565,2.012436, 
59903,-1.624785,-9.652991,2.024400, 
59981,-1.552997,-9.698457,2.055508, 
60060,-1.552997,-9.684099,2.031579, 
60138,-1.557783,-9.619491,2.017221, 
60217,-1.533854,-9.688885,2.005257, 
60296,-1.617606,-9.638634,2.055508, 
60375,-1.474031,-9.775029,2.022007, 
60454,-1.500353,-9.664956,2.050722, 
60532,-1.560176,-9.717600,2.048329, 
60611,-1.531461,-9.691278,1.990900, 
60690,-1.576926,-9.693670,2.010043, 
60768,-1.552997,-9.669742,1.998078, 
60847,-1.541033,-9.691278,1.976542, 
60926,-1.576926,-9.698457,1.988507, 
61004,-1.569748,-9.672134,2.081830, 
61083,-1.497960,-9.727171,2.072258, 
61162,-1.536247,-9.691278,2.036365, 
61241,-1.505139,-9.715207,2.014829, 
61320,-1.531461,-9.660170,2.019614, 
61398,-1.619999,-9.655384,2.007650, 
61477,-1.521890,-9.650599,1.935863, 
61556,-1.493175,-9.696064,1.983721, 
61634,-1.545819,-9.633848,1.976542, 
61713,-1.512318,-9.751101,1.931077, 
61791,-1.562569,-9.638634,1.947827, 
61870,-1.514711,-9.712814,1.880826, 
61949,-1.588891,-9.619491,2.026793, 
76482,0.775302,-10.418722,3.460145, 
76487,0.758552,-10.363685,3.474503, 
76492,0.722658,-10.349327,3.500824, 
76497,0.595834,-10.342149,3.469717, 
76502,0.670014,-10.354114,3.584576, 
76506,0.516868,-10.289505,3.500824, 
76511,0.478582,-10.239254,3.433823, 
76516,0.394830,-10.227289,3.397929, 
76521,0.418759,-10.119608,3.409894, 
76526,0.385258,-10.148323,3.383572, 
76531,0.248862,-10.157895,3.390751, 
76536,0.205790,-10.112430,3.321357, 
76540,0.157932,-10.059786,3.347678, 
76544,0.131610,-10.045428,3.357250, 
76549,0.093323,-10.019106,3.295034, 
76554,0.071787,-10.009535,3.278284, 
76559,0.052644,-9.956890,3.194532, 
76564,0.107681,-9.899461,3.187354, 
76569,0.052644,-9.882710,3.067708, 
76574,0.059823,-9.818102,3.084459, 
76578,0.035894,-9.880318,3.122745, 
76582,0.002393,-9.906639,2.998314, 
76587,0.028715,-9.830067,2.981564, 
76592,0.028715,-9.782208,2.945670, 
76597,0.021536,-9.748708,2.871490, 
76602,0.002393,-9.763065,2.842775, 
76607,-0.019143,-9.786994,2.881061, 
76612,0.023929,-9.901854,2.907383, 
76617,-0.016750,-9.930569,2.916955, 
76622,-0.009572,-9.868353,2.916955, 
76627,-0.064609,-9.839638,2.818846, 
76632,-0.081359,-9.875532,2.799702, 
76637,-0.177075,-9.920997,2.773381, 
76642,-0.181861,-9.901854,2.785345, 
76647,-0.172289,-9.863567,2.761416, 
76652,-0.157932,-9.851603,2.802095, 
76657,-0.222540,-9.810924,2.861918, 
76662,-0.270399,-9.885103,2.802095, 
76666,-0.299114,-9.873138,2.837989, 
76671,-0.320650,-9.920997,2.837989, 
76675,-0.220148,-9.942533,2.847561, 
76679,-0.232112,-9.925783,2.895419, 
76684,-0.325435,-9.937747,2.902597, 
76689,-0.461831,-10.177038,2.852346, 
