Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
256555,3,448181,-68,171562,-8,659934, 
256634,1,545819,-7,449123,-4,558490, 
256714,-0,906912,5,211754,2,275656, 
256793,0,768124,-0,406794,-2,459909, 
256873,-0,837518,-3,771223,0,129217, 
256953,4,563276,-42,797161,-5,965520, 
257033,-1,450102,-0,433116,-2,124902, 
257113,-0,088538,2,826025,0,945199, 
257192,0,421152,1,002628,-0,430723, 
257272,0,588655,-6,345992,-3,972227, 
257352,-4,209126,-25,898445,-1,031343, 
257431,1,983721,2,407265,0,916484, 
257511,1,060058,0,971521,3,531932, 
257590,0,007179,-1,098345,-1,849718, 
257670,-0,105288,-13,043742,3,295034, 
257750,-1,926291,-26,056376,-4,922212, 
257830,1,801860,5,486938,3,601327, 
257910,-0,949984,1,538640,2,146439, 
257989,0,603013,-0,624549,-1,397458, 
258069,3,046172,-27,032682,0,002393, 
258149,-1,265848,-18,420607,-5,817160, 
258228,-0,708301,7,530482,2,792524, 
258308,2,962420,0,239291,0,837518, 
258387,-1,787502,-1,450102,-2,366586, 
258467,6,061236,-65,883942,-2,328300, 
258547,-6,527853,-8,616862,-7,152402, 
258626,2,335478,3,910012,1,684607, 
258706,0,394830,2,098580,1,354386, 
258786,-1,923898,-2,778166,-2,366586, 
258866,1,404637,-66,233307,-12,000434, 
258946,2,230190,-5,979877,-1,524282, 
259025,-1,909541,3,663542,0,804017, 
259105,-0,033501,-2,036365,-2,567590, 
259184,-2,601091,-3,065315,-0,567119, 
259264,3,536718,-55,407787,-3,756866, 
259344,-1,995685,-2,682450,-5,245255, 
259423,-0,476189,2,352229,1,234741, 
259503,0,435509,0,997843,-0,095716, 
259583,2,170368,-2,476660,-4,764280, 
259663,-0,634121,-38,903900,-3,369215, 
259743,0,732230,-3,323749,-3,213675, 
259822,0,349365,1,730072,4,718815, 
259902,-0,655657,-1,363958,-2,869097, 
259981,-1,617606,-2,730308,1,148596, 
260061,1,320885,-36,869926,-7,786523, 
260141,1,624785,2,160796,-1,387887, 
260220,-2,167975,2,682450,1,409423, 
260300,2,804488,-0,339793,0,165111, 
260379,1,055272,-5,226111,-2,617841, 
260459,-2,794917,-27,169079,-3,821474, 
260539,1,521890,3,452966,1,605641, 
260619,0,849482,1,261063,3,644399, 
260699,-0,971521,-2,117724,-1,825789, 
260778,0,569512,-0,413973,0,134003, 
260858,2,165582,-42,983807,-6,580497, 
260938,-0,363722,-1,811431,-2,062687, 
261017,-1,031343,3,036600,1,679821, 
261097,0,842304,0,519261,0,784874, 
261176,0,000000,-7,164367,-1,450102, 
261256,-6,173703,-45,625580,-18,423000, 
261336,-3,072494,-0,693943,4,749923, 
261416,1,883219,-7,650127,-1,526675, 
265200,6,953791,-66,551559,-11,986076, 
265280,0,672407,-10,112430,-4,558490, 
265359,-2,100973,5,125609,0,634121, 
265439,0,533619,-0,624549,-0,392437, 
265519,-1,220383,-0,715479,-2,933705, 
265598,8,573790,-77,736015,-4,788209, 
265678,-3,577398,-7,312727,-5,340971, 
265757,0,557548,4,948534,0,576691, 
265837,-0,294328,0,993057,0,098109, 
